fen,id,expected_bm,expected_am,given_move,bm_success,am_success,time_s,score
8/6pk/8/2p2P1p/6qP/5QP1/8/6K1 w - - 0 1,E_E_T 012 - D vs D,"[Move.from_uci('f3d3'), Move.from_uci('f3f2')]",[],f3g4,False,,15.151,+10
5q1k/5P1p/Q7/5n1p/6P1/7K/8/8 w - - 0 1,E_E_T 013 - D vs D&S,[Move.from_uci('a6a1')],[],a6f6,False,,23.853,+60
4qr2/4p2k/1p2P1pP/5P2/1P3P2/6Q1/8/3B1K2 w - - 0 1,E_E_T 014 - D&L vs D&T,[Move.from_uci('d1a4')],[],g3g6,False,,25.294,+378
8/kn4b1/P2B4/8/1Q6/6pP/1q4pP/5BK1 w - - 0 1,E_E_T 015 - D&L&L vs D&L&S,[Move.from_uci('d6c5')],[],b4b7,False,,40.762,+819
6k1/1p2p1bp/p5p1/4pb2/1q6/4Q3/1P2BPPP/2R3K1 w - - 0 1,E_E_T 017 - D&T&L vs D&L&L,[Move.from_uci('e3a3')],[],e3h3,False,,29.317,+107
1rr2k2/p1q5/3p2Q1/3Pp2p/8/1P3P2/1KPRN3/8 w - e6 0 1,E_E_T 018 - D&T&S vs D&T&T,[Move.from_uci('d2d1')],[],g6h6,False,,27.532,+92
r5k1/3R2p1/p1r1q2p/P4p2/5P2/2p1P3/5P1P/1R1Q2K1 w - - 0 1,E_E_T 019 - D&T&T vs D&T&T,[],[Move.from_uci('b1b7')],d7g7,,True,28.145,+57
8/1p4k1/pK5p/2B5/P4pp1/8/7P/8 b - - 0 1,E_E_T 020 - L vs B,[],[Move.from_uci('g4g3')],f4f3,,True,18.536,-300
8/6p1/6P1/6Pp/B1p1p2K/6PP/3k2P1/8 w - - 0 1,E_E_T 021 - L vs B,[Move.from_uci('a4d1')],[],a4c2,False,,10.504,+162
8/4k3/8/2Kp3p/B3bp1P/P7/1P6/8 b - - 0 1,E_E_T 022 - L vs L,[Move.from_uci('e4g2')],[],e4c2,False,,36.264,-74
8/8/2p1K1p1/2k5/p7/P4BpP/1Pb3P1/8 w - - 0 1,E_E_T 023 - L vs L,[],[Move.from_uci('e6d7')],e6f6,,True,19.456,+70
8/3p3B/5p2/5P2/p7/PP5b/k7/6K1 w - - 0 1,E_E_T 024 - L vs L,[Move.from_uci('b3b4')],[],h7g6,False,,5.686,-31
8/p4p2/1p2k2p/6p1/P4b1P/1P6/3B1PP1/6K1 w - - 0 1,E_E_T 025 - L vs L,[],[Move.from_uci('d2f4')],d2f4,,False,19.4,+1
3b3k/1p4p1/p5p1/4B3/8/7P/1P3PP1/5K2 b - - 0 1,E_E_T 027 - L vs L,[],[Move.from_uci('d8f6')],d8c7,,True,11.506,+143
4b1k1/1p3p2/4pPp1/p2pP1P1/P2P4/1P1B4/8/2K5 w - - 0 1,E_E_T 028 - L vs L,[Move.from_uci('b3b4')],[],c1b2,False,,8.759,+82
8/3k1p2/n3pP2/1p2P2p/5K2/1PB5/7P/8 b - - 0 1,E_E_T 029 - L vs S,[],"[Move.from_uci('d7c6'), Move.from_uci('b5b4')]",h5h4,,True,6.3,+117
8/8/4p1p1/1P1kP3/4n1PK/2B4P/8/8 b - - 0 1,E_E_T 030 - L vs S,[Move.from_uci('d5c5')],[],g6g5,False,,6.47,+1362
8/5k2/4p3/B2p2P1/3K2n1/1P6/8/8 b - - 0 1,E_E_T 031 - L vs S,[Move.from_uci('f7g6')],[],f7f8,False,,16.048,+143
5b2/p4B2/5B2/1bN5/8/P3r3/4k1K1/8 w - - 0 1,E_E_T 032 - L&L&S vs T&L&L,[Move.from_uci('f7h5')],[],f7h5,True,,18.292,+293
8/p5pq/8/p2N3p/k2P3P/8/KP3PB1/8 w - - 0 1,E_E_T 033 - L&S vs D,[Move.from_uci('g2e4')],[],b2b3,False,,3.202,+560
1b6/1P6/8/2KB4/6pk/3N3p/8/8 b - - 0 1,E_E_T 034 - L&S vs L&B,[Move.from_uci('h4g3')],[],h3h2,False,,4.873,+37
8/p7/7k/1P1K3P/8/1n6/4Bp2/5Nb1 b - - 0 1,E_E_T 035 - L&S vs L&S,[Move.from_uci('b3a5')],[],h6h7,False,,16.323,+9
8/8/8/3K4/2N5/p2B4/p7/k4r2 w - - 0 1,E_E_T 036 - L&S vs T&B,[Move.from_uci('d5c5')],[],c4b2,False,,5.475,+371
8/8/2kp4/5Bp1/8/5K2/3N4/2rN4 w - - 0 1,E_E_T 037 - L&S&S vs T&B,[Move.from_uci('d2b3')],[],d1f2,False,,5.173,+211
k2K4/1p4pN/P7/1p3P2/pP6/8/8/8 w - - 0 1,E_E_T 038 - S vs B,"[Move.from_uci('f5f6'), Move.from_uci('d8c7')]",[],f5f6,True,,11.455,+288
k2N4/1qpK1p2/1p6/1P4p1/1P4P1/8/8/8 w - - 0 1,E_E_T 039 - S vs D,[Move.from_uci('d8c6')],[],d8b7,False,,5.478,+196
6k1/4b3/4p1p1/8/6pP/4PN2/5K2/8 w - - 0 1,E_E_T 040 - S vs L,"[Move.from_uci('f3e5'), Move.from_uci('f3h2')]",[],f3e5,True,,5.371,-25
8/8/6Np/2p3kP/1pPbP3/1P3K2/8/8 w - - 0 1,E_E_T 041 - S vs L,[Move.from_uci('e4e5')],[],g6f8,False,,4.375,+140
8/3P4/1p3b1p/p7/P7/1P3NPP/4p1K1/3k4 w - - 0 1,E_E_T 042 - S vs L,[Move.from_uci('g3g4')],[],d7d8r,False,,24.008,+308
8/8/1p2p3/p3p2b/P1PpP2P/kP6/2K5/7N w - - 0 1,E_E_T 043 - S vs L,[Move.from_uci('h1f2')],[],c2b1,False,,5.081,-3
4N3/8/3P3p/1k2P3/7p/1n1K4/8/8 w - - 0 1,E_E_T 044 - S vs S,[Move.from_uci('d6d7')],[],d3e4,False,,16.187,+325
N5n1/2p1kp2/2P3p1/p4PP1/K4P2/8/8/8 w - - 0 1,E_E_T 045 - S vs S,"[Move.from_uci('f5f6'), Move.from_uci('a4b5')]",[],a4b5,True,,7.912,+157
8/8/2pn4/p4p1p/P4N2/1Pk2KPP/8/8 w - - 0 1,E_E_T 046 - S vs S,"[Move.from_uci('f4e2'), Move.from_uci('f4e6')]",[],b3b4,False,,26.402,+20
8/7k/2P5/2p4p/P3N2K/8/8/5r2 w - - 0 1,E_E_T 047 - S vs T,[Move.from_uci('e4g5')],[],c6c7,False,,11.977,+746
2k1r3/p7/K7/1P6/P2N4/8/P7/8 w - - 0 1,E_E_T 048 - S vs T,[Move.from_uci('d4c6')],[],a6a7,False,,7.418,+149
1k6/8/8/1K6/5pp1/8/4Pp1p/R7 w - - 0 1,E_E_T 049 - T vs B,[Move.from_uci('b5b6')],[],b5b4,False,,29.76,+427
6k1/8/8/1K4p1/3p2P1/2pp4/8/1R6 w - - 0 1,E_E_T 050 - T vs B,[Move.from_uci('b5c6')],[],b1e1,False,,10.441,+445
8/5p2/3pp2p/p5p1/4Pk2/2p2P1P/P1Kb2P1/1R6 w - - 0 1,E_E_T 051 - T vs L,"[Move.from_uci('a2a4'), Move.from_uci('b1b5')]",[],b1a1,False,,36.671,+94
8/8/4pR2/3pP2p/6P1/2p4k/P1Kb4/8 b - - 0 1,E_E_T 052 - T vs L,[Move.from_uci('h5g4')],[],d2c1,False,,21.091,+68
3k3K/p5P1/P3r3/8/1N6/8/8/8 w - - 0 1,E_E_T 053 - T vs S,[Move.from_uci('h8h7')],[],g7g8q,False,,4.909,+1670
8/8/5p2/5k2/p4r2/PpKR4/1P5P/8 w - - 0 1,E_E_T 054 - T vs T,[],[Move.from_uci('d3d4')],d3d1,,True,14.165,-6
5k2/7R/8/4Kp2/5Pp1/P5rp/1P6/8 w - - 0 1,E_E_T 055 - T vs T,[Move.from_uci('e5f6')],[],h7h5,False,,15.11,+195
2K5/p7/7P/5pR1/8/5k2/r7/8 w - - 0 1,E_E_T 056 - T vs T,[Move.from_uci('g5f5')],[],c8c7,False,,22.081,+63
8/2R4p/4k3/1p2P3/pP3PK1/r7/8/8 b - - 0 1,E_E_T 057 - T vs T,"[Move.from_uci('h7h5'), Move.from_uci('a3a1')]",[],a3g3,False,,13.37,+262
2k1r3/5R2/3KP3/8/1pP3p1/1P5p/8/8 w - - 0 1,E_E_T 058 - T vs T,[Move.from_uci('f7c7')],[],d6c6,False,,21.314,+154
8/6p1/1p5p/1R2k3/4p3/1P2P3/1K4PP/3r4 b - - 0 1,E_E_T 059 - T vs T,[],[Move.from_uci('d1d5')],e5d6,,True,24.648,-2
5K2/kp3P2/2p5/2Pp4/3P4/r7/p7/6R1 w - - 0 1,E_E_T 060 - T vs T,[Move.from_uci('f8e7')],[],g1a1,False,,13.478,+607
8/pp3K2/2P4k/5p2/8/6P1/R7/6r1 w - - 0 1,E_E_T 061 - T vs T,[Move.from_uci('f7f6')],[],c6b7,False,,25.052,+82
2r3k1/6pp/3pp1P1/1pP5/1P6/P4R2/5K2/8 w - - 0 1,E_E_T 062 - T vs T,[Move.from_uci('c5c6')],[],c5d6,False,,12.758,+296
r2k4/8/8/1P4p1/8/p5P1/6P1/1R3K2 w - - 0 1,E_E_T 063 - T vs T,[Move.from_uci('b5b6')],[],b5b6,True,,12.949,+51
8/4k3/1p4p1/p7/P1r1P3/1R4Pp/5P1P/4K3 w - - 0 1,E_E_T 064 - T vs T,[Move.from_uci('e1e2')],[],b3b6,False,,18.59,+193
R7/4kp2/P3p1p1/3pP1P1/3P1P2/p6r/3K4/8 w - - 0 1,E_E_T 065 - T vs T,[Move.from_uci('d2c2')],[],a8e8,False,,6.723,+482
8/1pp1r3/p1p2k2/6p1/P5P1/1P3P2/2P1RK2/8 b - - 0 1,E_E_T 066 - T vs T,[],"[Move.from_uci('e7e2'), Move.from_uci('e7e5')]",f6g6,,True,23.528,+164
8/1p2R3/8/p5P1/3k4/P2p2K1/1P6/5r2 w - - 0 1,E_E_T 067 - T vs T,[Move.from_uci('g3g2')],[],e7d7,False,,84.928,+102
R7/P5Kp/2P5/k3r2P/8/5p2/p4P2/8 w - - 0 1,E_E_T 068 - T vs T,[Move.from_uci('a8b8')],[],a8h8,False,,26.803,+299
8/2p4K/4k1p1/p1p1P3/PpP2P2/5R1P/8/6r1 b - - 0 1,E_E_T 069 - T vs T,[Move.from_uci('e6f7')],[],g1g3,False,,29.762,+84
8/B7/1R6/q3k2p/8/6p1/5P2/5K2 w - - 0 1,E_E_T 071 - T&L vs D,[Move.from_uci('b6b3')],[],a7b8,False,,36.648,-50
5k2/8/2Pb1B2/8/6RK/7p/5p1P/8 w - - 0 1,E_E_T 072 - T&L vs L&B,[Move.from_uci('f6e5')],[],f6e5,True,,17.213,+240
3kB3/R4P2/8/8/1p6/pp6/5r2/1K6 w - - 0 1,E_E_T 073 - T&L vs T&B,"[Move.from_uci('f7f8q'), Move.from_uci('f7f8r')]",[],a7d7,False,,24.466,+8
5k2/1p6/1P1p4/1K1p2p1/PB1P2P1/3pR2p/1P2p1pr/8 w - - 0 1,E_E_T 074 - T&L vs T&B,[Move.from_uci('b4a5')],[],e3e5,False,,9.879,+221
6k1/p6p/1p1p2p1/2bP4/P1P5/2B3P1/4r2P/1R5K w - - 0 1,E_E_T 075 - T&L vs T&L,[Move.from_uci('a4a5')],[],b1b5,False,,54.8,+5
3R3B/8/1r4b1/8/4pP2/7k/8/7K w - - 0 1,E_E_T 076 - T&L vs T&L,[Move.from_uci('h8d4')],[],h1g1,False,,25.531,-9
rk1b4/p2p2p1/1P6/2R2P2/8/2K5/8/5B2 w - - 0 1,E_E_T 077 - T&L vs T&L,[Move.from_uci('c5c8')],[],c5c8,True,,3.468,+485
3r1k2/8/7R/8/8/pp1B4/P7/n1K5 w - - 0 1,E_E_T 078 - T&L vs T&S,[Move.from_uci('h6f6')],[],h6h8,False,,35.898,0
r5k1/5ppp/1p6/2b1R3/1p3P2/2nP2P1/1B3PKP/5B2 w - - 0 1,E_E_T 079 - T&L&L vs T&L&S,[Move.from_uci('d3d4')],[],e5e8,False,,28.935,+7
5k2/3p1b2/4pN2/3PPpp1/6R1/6PK/1B1q1P2/8 w - - 0 1,E_E_T 080 - T&L&S vs D&L,[Move.from_uci('b2a3')],[],b2a3,True,,54.764,+178
8/1p5p/6p1/1p4Pp/1PpR4/2P1K1kB/6Np/7b w - - 0 1,E_E_T 081 - T&L&S vs L&B,[Move.from_uci('d4d1')],[],d4g4,False,,3.989,+451
7k/1p1Nr2P/3Rb3/8/3K4/6b1/8/5B2 w - - 0 1,E_E_T 082 - T&L&S vs T&L&L,[Move.from_uci('d7e5')],[],d6e6,False,,29.456,+11
8/1B4k1/5pn1/6N1/1P3rb1/P1K4p/3R4/8 w - - 0 1,E_E_T 083 - T&L&S vs T&L&S,[Move.from_uci('g5h3')],[],b7c8,False,,112.004,-5
8/7p/6p1/3Np1bk/4Pp2/1R3PPK/5r1P/8 w - - 0 1,E_E_T 084 - T&S vs T&L,[Move.from_uci('d5c7')],[],d5f6,False,,3.098,+416
1r6/3b1p2/2k4P/1N3p1P/5P2/8/3R4/2K5 w - - 0 1,E_E_T 085 - T&S vs T&L,[Move.from_uci('b5a7')],[],b5d4,False,,7.771,+571
k6r/8/1R6/8/1pK2p2/8/7N/3b4 w - - 0 1,E_E_T 086 - T&S vs T&L,[Move.from_uci('h2f1')],[],b6d6,False,,29.052,+11
8/8/8/p1p5/2P1k3/1Pn5/1N1R2K1/1r6 w - - 0 1,E_E_T 087 - T&S vs T&S,[Move.from_uci('g2g3')],[],b2d1,False,,36.294,+7
5n1k/1r3P1p/p2p3P/P7/8/1N6/5R2/4K3 b - - 0 1,E_E_T 088 - T&S vs T&S,[Move.from_uci('b7e7')],[],b7d7,False,,5.223,+39
6R1/P2k1N2/r7/7P/r7/p7/7K/8 w - - 0 1,E_E_T 089 - T&S vs T&T,[Move.from_uci('f7h6')],[],a7a8q,False,,3.602,+767
8/1rk1P3/7p/P7/1N2r3/5RKb/8/8 w - - 0 1,E_E_T 090 - T&S&B vs T&T&L,[Move.from_uci('b4a6')],[],e7e8q,False,,16.28,+701
2K5/k3q3/6pR/6p1/6Pp/7P/8/3R4 w - - 0 1,E_E_T 090 - T&T vs D,[Move.from_uci('h6h7')],[],d1d7,False,,6.045,+2808
R5bk/5r2/P7/1P1pR3/3P4/7p/5p1K/8 w - - 0 1,E_E_T 092 - T&T vs T&L,[Move.from_uci('e5h5')],[],a8g8,False,,37.158,+158
4k3/7r/3nb3/2R5/8/6n1/1R3K2/8 w - - 0 1,E_E_T 093 - T&T vs T&L&S,[Move.from_uci('c5e5')],[],c5c8,False,,82.721,+13
1r6/1r6/1P1KP3/6k1/1R4p1/7p/7R/8 w - - 0 1,E_E_T 094 - T&T vs T&T,"[Move.from_uci('d6c6'), Move.from_uci('b4b5')]",[],e6e7,False,,17.495,+68
1k1K4/1p6/P4P2/2R5/4p2R/r2p4/8/3r4 w - - 0 1,E_E_T 095 - T&T vs T&T,[Move.from_uci('h4f4')],[],c5c8,False,,7.591,+336
5k2/R1p5/p1R3Pb/2K5/2B5/2q2b2/8/8 w - - 0 1,E_E_T 096 - T&T&L vs D&L&L,[Move.from_uci('g6g7')],[],a7a8,False,,17.034,+441
8/8/k7/n7/p1R5/p7/4r1p1/KB3R2 w - - 0 1,E_E_T 097 - T&T&L vs T&S&B,[Move.from_uci('c4c3')],[],f1f6,False,,34.655,+90
3r2k1/p1R2ppp/1p6/P1b1PP2/3p4/3R2B1/5PKP/1r6 w - - 0 1,E_E_T 098 - T&T&L vs T&T&L,[Move.from_uci('f5f6')],[],g2h3,False,,28.662,+65
8/5p2/5rp1/p2k1r1p/P1pNp2P/RP1bP1P1/5P1R/4K3 b - - 0 1,E_E_T 099 - T&T&S vs T&T&L,[Move.from_uci('c4c3')],[],f5e5,False,,49.756,-25
1r4k1/6pp/3Np1b1/p1R1P3/6P1/P2pr2P/1P1R2K1/8 b - - 0 1,E_E_T 100 - T&T&S vs T&T&L,[Move.from_uci('b8f8')],[],a5a4,False,,137.319,+9
4k1r1/pp2p2p/3pN1n1/2pP4/2P3P1/PP5P/8/5RK1 b - - 0 1,E_E_T 16b -  T&S vs T&S,[],[Move.from_uci('g6f8')],e8d7,,True,8.433,-9
8/3k3p/1p2p3/p4p2/Pb1Pp3/2B3PP/1P3P2/5K2 w - - 0 1,E_E_T 26b -  L vs L,[],[Move.from_uci('c3b4')],c3b4,,False,23.703,+57
8/1k6/8/Q7/7p/6p1/6pr/6Kb w - - 0 1,E_E_T 70b - D vs T&L&B,[Move.from_uci('a5c5')],[],a5b5,False,,6.001,+243
