fen,success,depth,nodes,time_s,score
2k4r/1pp1n1pp/p1pr1pb1/4p3/Nq2P1P1/1P1PKN1P/2P1QP2/3R3R b - - 0 1,True,1,86,0.115,"PovScore(Cp(+50499), BLACK)"
5k1r/4npp1/p3p2p/3nP2P/3P3Q/3N4/qB2KPP1/2R5 w - - 0 1,True,1,86,0.152,"PovScore(Cp(+50499), WHITE)"
2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8 w - - 0 1,True,2,320,0.154,"PovScore(Cp(+50483), WHITE)"
5r1r/1p6/p1p2p2/2P1bPpk/4R3/6PP/P2B2K1/3R4 w - - 0 1,True,2,232,0.113,"PovScore(Cp(+50446), WHITE)"
5qrk/5p1n/pp3p1Q/2pPp3/2P1P1rN/2P4R/P5P1/2B3K1 w - - 0 1,True,1,83,0.076,"PovScore(Cp(+50499), WHITE)"
3rk2r/p1qn1pp1/1p2pb1p/7P/2Pp4/B1P1QP2/P1B1KP2/3R3R w k - 0 1,True,1,106,0.116,"PovScore(Cp(+50499), WHITE)"
r3kb1r/q5pp/p1p1Bnn1/1p2Q3/8/2N2PBP/PPP5/2KRR3 w - - 0 1,True,2,955,0.318,"PovScore(Cp(+50156), WHITE)"
rq3rk1/3n1pp1/pb4n1/3N2P1/1pB1QP2/4B3/PP6/2KR3R w - - 0 1,True,2,442,0.113,"PovScore(Cp(+50249), WHITE)"
3q2r1/p2b1k2/1pnBp1N1/3p1pQP/6P1/5R2/2r2P2/4RK2 w - - 0 1,True,2,667,0.211,"PovScore(Cp(+50341), WHITE)"
8/p4pk1/6p1/3R4/3nqN1P/2Q3P1/5P2/3r1BK1 b - - 0 1,True,1,169,0.089,"PovScore(Cp(+50499), BLACK)"
2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR w - - 0 1,True,2,579,0.287,"PovScore(Cp(+50434), WHITE)"
r1bq1rkb/ppp2n1p/5n2/4p1NN/5pQ1/1BP5/PP3PPP/R1B1K2R w KQ - 0 1,True,2,529,0.176,"PovScore(Cp(+50440), WHITE)"
4r3/1b2r2p/p2p2k1/P1pP1R1N/3b4/1P1B3P/3n2P1/5R1K w - - 0 1,True,1,100,0.074,"PovScore(Cp(+50499), WHITE)"
2b3k1/1p5p/2p1n1pQ/3qB3/3P4/3B3P/r5P1/5RK1 w - - 0 1,True,2,394,0.199,"PovScore(Cp(+50446), WHITE)"
3rk2r/1pR2p2/b2BpPp1/p2p4/8/1P6/P4PPP/4R1K1 w - - 0 1,True,2,453,0.098,"PovScore(Cp(+50323), WHITE)"
4nr1k/1bq3pp/5p2/1p2pNQ1/3pP3/1B1P3R/1PP3PP/6K1 w - - 0 1,True,2,492,0.136,"PovScore(Cp(+50428), WHITE)"
r1bk1r2/pp1n2pp/3NQ3/1P6/8/2n2PB1/q1B3PP/3R1RK1 w - - 0 1,True,2,627,0.125,"PovScore(Cp(+50150), WHITE)"
1rb2k2/pp3ppQ/7q/2p1n1N1/2p5/2N5/P3BP1P/K2R4 w - - 0 1,True,2,489,0.122,"PovScore(Cp(+50384), WHITE)"
4r3/5p1k/2p1nBpp/q2p4/P1bP4/2P1R2Q/2B2PPP/6K1 w - - 0 1,True,2,414,0.089,"PovScore(Cp(+50453), WHITE)"
2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3 b - - 0 1,True,1,96,0.087,"PovScore(Cp(+50499), BLACK)"
6R1/5r1k/p6b/1pB1p2q/1P6/5rQP/5P1K/6R1 w - - 0 1,True,1,88,0.16,"PovScore(Cp(+50499), WHITE)"
r5q1/pp1b1kr1/2p2p2/2Q5/2PpB3/1P4NP/P4P2/4RK2 w - - 0 1,True,1,115,0.151,"PovScore(Cp(+50499), WHITE)"
2r1kb1r/p2b1ppp/3p4/Q2Np1B1/4P2P/8/PP4P1/4KB1n w k - 0 1,True,2,533,0.127,"PovScore(Cp(+50428), WHITE)"
5rk1/ppp2pbp/3p2p1/1q6/4r1P1/1NP1B3/PP2nPP1/R2QR2K b - - 0 1,True,1,118,0.095,"PovScore(Cp(+50499), BLACK)"
r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4 w - - 0 1,True,1,94,0.154,"PovScore(Cp(+50499), WHITE)"
2b5/k2n1p2/p2q4/5R1B/2p4P/P1b5/KPQ1R3/6r1 b - - 0 1,True,1,130,0.14,"PovScore(Cp(+50499), BLACK)"
4Q3/r4ppk/3p3p/4pPbB/2P1P3/1q5P/6P1/3R3K w - - 0 1,True,1,84,0.163,"PovScore(Cp(+50499), WHITE)"
rn5r/p4pp1/3n3p/qB1k4/3P4/4P3/PP2NPPP/R4K1R w - - 0 1,True,1,64,0.087,"PovScore(Cp(+50499), WHITE)"
r2r2k1/pp2bppp/2p1p3/4qb1P/8/1BP1BQ2/PP3PP1/2KR3R b - - 0 1,True,1,115,0.131,"PovScore(Cp(+50499), BLACK)"
5R2/6k1/3K4/p6r/1p1NB3/1P4r1/8/8 w - - 0 1,True,2,598,0.187,"PovScore(Cp(+50415), WHITE)"
5r2/1qp2pp1/bnpk3p/4NQ2/2P5/1P5P/5PP1/4R1K1 w - - 0 1,True,2,487,0.145,"PovScore(Cp(+50366), WHITE)"
3nk1r1/1pq4p/p3PQpB/5p2/2r5/8/P4PPP/3RR1K1 w - - 0 1,True,2,583,0.378,"PovScore(Cp(+50187), WHITE)"
5rk1/5ppp/pq6/1r3n2/2Q2P2/1P1N4/P1P1R1PP/4R2K b - - 0 1,True,2,600,0.133,"PovScore(Cp(+50311), BLACK)"
1k3r2/4R1Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7 w - - 0 1,True,1,177,0.084,"PovScore(Cp(+50499), WHITE)"
2k1r2r/ppp3p1/3b4/3pq2b/7p/2NP1P2/PPP2Q1P/R5RK b - - 0 1,True,1,94,0.166,"PovScore(Cp(+50499), BLACK)"
3k4/1p3Bp1/p5r1/2b5/P3P1N1/5Pp1/1P1r4/2R4K b - - 0 1,True,1,84,0.085,"PovScore(Cp(+50499), BLACK)"
6k1/1r4np/pp1p1R1B/2pP2p1/P1P5/1n5P/6P1/4R2K w - - 0 1,True,2,489,0.146,"PovScore(Cp(+50181), WHITE)"
8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1 w - - 0 1,True,1,61,0.047,"PovScore(Cp(+50499), WHITE)"
r7/6R1/ppkqrn1B/2pp3p/P6n/2N5/8/1Q1R1K2 w - - 0 1,True,1,104,0.096,"PovScore(Cp(+50499), WHITE)"
r2q1k1r/3bnp2/p1n1pNp1/3pP1Qp/Pp1P4/2PB4/5PPP/R1B2RK1 w - - 0 1,True,2,642,0.154,"PovScore(Cp(+50341), WHITE)"
6rk/1r2pR1p/3pP1pB/2p1p3/P6Q/P1q3P1/7P/5BK1 w - - 0 1,True,2,507,0.095,"PovScore(Cp(+50311), WHITE)"
1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8 w - - 0 1,True,2,733,0.101,"PovScore(Cp(+50305), WHITE)"
r4rk1/5Rbp/p1qN2p1/P1n1P3/8/1Q3N1P/5PP1/5RK1 w - - 0 1,True,2,623,0.195,"PovScore(Cp(+50292), WHITE)"
7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8 w - - 0 1,True,2,226,0.058,"PovScore(Cp(+50397), WHITE)"
8/1R3p2/3rk2p/p2p2p1/P2P2P1/3B1PN1/5K1P/r7 w - - 0 1,True,2,353,0.109,"PovScore(Cp(+50298), WHITE)"
8/5prk/p5rb/P3N2R/1p1PQ2p/7P/1P3RPq/5K2 w - - 0 1,True,2,480,0.086,"PovScore(Cp(+50341), WHITE)"
rqb2bk1/3n2pr/p1pp2Qp/1p6/3BP2N/2N4P/PPP3P1/2KR3R w - - 0 1,True,2,469,0.108,"PovScore(Cp(+50391), WHITE)"
1Q6/r3R2p/k2p2pP/p1q5/Pp4P1/5P2/1PP3K1/8 w - - 0 1,True,2,395,0.113,"PovScore(Cp(+50249), WHITE)"
N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1 b - - 0 1,True,1,76,0.061,"PovScore(Cp(+50499), BLACK)"
3R4/3Q1p2/q1rn2kp/4p3/4P3/2N3P1/5P1P/6K1 w - - 0 1,True,2,424,0.17,"PovScore(Cp(+50453), WHITE)"
6R1/2k2P2/1n5r/3p1p2/3P3b/1QP2p1q/3R4/6K1 b - - 0 1,True,1,80,0.073,"PovScore(Cp(+50499), BLACK)"
5r2/7p/3R4/p3pk2/1p2N2p/1P2BP2/6PK/4r3 w - - 0 1,True,2,495,0.206,"PovScore(Cp(+50453), WHITE)"
7r/3kbp1p/1Q3R2/3p3q/p2P3B/1P5K/P6P/8 w - - 0 1,True,1,112,0.08,"PovScore(Cp(+50499), WHITE)"
r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1 w - - 0 1,True,2,373,0.149,"PovScore(Cp(+50397), WHITE)"
1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1 w - - 0 1,True,1,155,0.117,"PovScore(Cp(+50499), WHITE)"
8/k1p1q3/Pp5Q/4p3/2P1P2p/3P4/4K3/8 w - - 0 1,True,1,59,0.217,"PovScore(Cp(+50499), WHITE)"
8/pp2k3/7r/2P1p1p1/4P3/5pq1/2R3N1/1R3BK1 b - - 0 1,True,1,78,0.104,"PovScore(Cp(+50499), BLACK)"
7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1 b - - 0 1,True,1,89,0.144,"PovScore(Cp(+50499), BLACK)"
8/p4q2/6k1/1p3rP1/3Q4/8/PPP5/K6R w - - 0 1,True,2,601,0.247,"PovScore(Cp(+50236), WHITE)"
2r3k1/1p3ppp/p3p3/7P/P4P2/1R2QbP1/6q1/1B2K3 b - - 0 1,True,1,88,0.069,"PovScore(Cp(+50499), BLACK)"
6r1/p6k/Bp3n1r/2pP1P2/P4q1P/2P2Q2/5K2/2R2R2 b - - 0 1,True,1,98,0.134,"PovScore(Cp(+50499), BLACK)"
8/8/8/5P2/R2p1N2/4n1r1/PP6/5k1K b - - 0 1,True,1,48,0.208,"PovScore(Cp(+50499), BLACK)"
r7/4k1Pp/2n1p2P/q2pp1N1/1p4P1/1P6/P4R2/1K1R4 w - - 0 1,True,1,82,0.145,"PovScore(Cp(+50499), WHITE)"
2Q5/1p3p2/3b1k1p/3Pp3/4B1R1/4q1P1/r4PK1/8 w - - 0 1,True,1,117,0.138,"PovScore(Cp(+50499), WHITE)"
8/5Qpk/p1R4p/P2p4/6P1/2rq4/5PPK/8 w - - 0 1,True,2,325,0.171,"PovScore(Cp(+50490), WHITE)"
3n1k2/5p2/2p1bb2/1p2pN1q/1P2P3/2P3Q1/5PB1/3R2K1 w - - 0 1,True,2,502,0.151,"PovScore(Cp(+50249), WHITE)"
rnR5/p3p1kp/4p1pn/bpP5/5BP1/5N1P/2P2P2/2K5 w - - 0 1,True,1,101,0.07,"PovScore(Cp(+50499), WHITE)"
6rk/6p1/4R2p/p2pP2b/5Q2/2P2PB1/1q4PK/8 w - - 0 1,True,1,125,0.066,"PovScore(Cp(+50499), WHITE)"
1Q6/8/3p1pk1/2pP4/1p3K2/5R2/5qP1/4r3 b - - 0 1,True,1,78,0.087,"PovScore(Cp(+50499), BLACK)"
